Cluster,count,mean,std,min,p50_km,p90_km,max,pct_gt_50km,pct_gt_100km,pct_gt_110km,pct_gt_300km,pct_gt_500km,metric
0,9341.0,344.16,199.19,110.14,308.14,575.85,3604.46,100.0,100.0,100.0,51.46129964671877,17.664061663633444,dist_gem_km
1,16925.0,306.58,165.88,110.02,265.93,533.89,1568.64,100.0,100.0,100.0,43.23190546528804,12.732644017725258,dist_gem_km
2,1484.0,276.83,368.91,110.24,151.62,470.21,3045.77,100.0,100.0,100.0,19.878706199460915,9.029649595687331,dist_gem_km
3,25670.0,1436.81,990.88,505.58,1173.84,2465.2,18053.11,100.0,100.0,100.0,100.0,100.0,dist_gem_km
0,9341.0,919.7,739.62,110.03,717.26,1737.42,4289.89,100.0,100.0,100.0,77.79680976340863,61.64222246012204,dist_pb_km
1,16925.0,850.94,709.89,110.01,646.11,1854.99,4233.94,100.0,100.0,100.0,74.36336779911373,59.13737075332348,dist_pb_km
2,1484.0,369.24,454.05,110.24,135.48,887.81,3057.16,100.0,100.0,100.0,32.81671159029649,21.563342318059302,dist_pb_km
3,25670.0,2058.36,1150.59,515.17,1847.0,3370.94,18053.29,100.0,100.0,100.0,100.0,100.0,dist_pb_km
0,9341.0,335.2,191.73,110.03,301.16,559.25,3604.46,100.0,100.0,100.0,50.14452414088427,16.48645755272455,dist_min_km
1,16925.0,293.22,151.48,110.01,255.47,506.69,1194.44,100.0,100.0,100.0,40.791728212703106,10.646971935007384,dist_min_km
2,1484.0,268.22,370.53,110.24,131.24,469.91,3045.77,100.0,100.0,100.0,19.609164420485175,8.76010781671159,dist_min_km
3,25670.0,1431.79,988.93,505.58,1166.0,2465.2,18053.11,100.0,100.0,100.0,100.0,100.0,dist_min_km
