logdist_mid,N,median,q1,q3
2.0914157481636613,3867,84.0,54.9,173.0
2.1835502306962975,3610,73.03999999999999,48.1482,105.0
2.2756847132289337,2996,75.0,52.8,102.0
2.3678191957615695,3065,69.0,50.0,97.0
2.4599536782942057,3201,65.8,48.0,82.1
2.552088160826842,3521,67.0,51.0,84.0
2.6442226433594778,3673,65.0,50.0,80.0
2.7363571258921136,3306,60.35,48.0,76.0
2.8284916084247502,4274,58.0,47.9446705425,73.0
2.920626090957386,4235,60.0,49.0,74.0
3.012760573490022,4383,52.0,43.0,64.0
3.1048950560226585,4609,56.0,46.0,67.459
3.1970295385552943,2923,57.0,45.25,68.0
3.28916402108793,2265,55.0,43.0,66.6
3.3812985036205667,1444,50.14,42.0,63.0
3.4734329861532025,1020,47.0,37.0,60.0
3.5655674686858383,353,51.0,35.0,66.3
3.657701951218475,325,57.0,47.0,72.0
3.7498364337511108,215,59.0,52.75368,69.60043999999999
3.8419709162837465,88,54.92354,51.0,66.25
3.934105398816383,9,56.0,44.0,64.47672
4.026239881349019,30,58.0,52.0,60.53145
4.118374363881655,4,65.31408,65.31408,65.31408
4.210508846414291,4,66.9888,66.9888,80.2416
