dist_bin,N,q_mean,q_median,q_p95,share_ge_thr_pct,logq_mean,logq_median
0–50,27126,313.63947008425504,84.0,944.825,25.03870825038708,2.0305670827980484,1.9242792860618816
50–100,9231,141.10441382977322,76.0,285.0,16.715415447947134,1.9120361570548563,1.8808135922807914
100–120,2587,96.09653047301009,67.0,217.87999999999994,8.658678005411675,1.827898365894714,1.8260748027008264
120–200,8567,494.0413477672538,78.6,284.6999999999998,12.664876853040738,1.9099232222528073,1.8954225460394079
200–400,10582,166.90664379330084,67.45,145.0,3.5154035154035155,1.826052739732189,1.8289818346831723
400–800,12275,67.47828735816245,60.7,114.25999999999986,1.4338085539714867,1.7856605753788481,1.7831886910752577
800–1600,13805,62.64818140517395,56.0,99.3,0.6736689605215501,1.7417979960916463,1.7481880270062005
1600–3200,5764,57.73857562762461,53.0,97.0,1.0235947258848022,1.7175328362371372,1.724275869600789
3200–6400,1000,57.86605277,55.0,97.0,0.3,1.7250636321233537,1.7403626894942439
≥6400,122,57.12696163934426,55.0,82.0,0.0,1.7411521359891506,1.7403626894942439
