lon,lat,q,log_q,dist_gem_km,dist_pb_km,dist_min_km,n_meas
-127.7864,47.7099,72700.0,4.862,151.978,128.227,128.227,17
-108.855765,23.941695,80743.0,4.8345,7.549,7.583,7.549,2
140.644,28.5716,77271.0,4.8870000000000005,238.5755,238.5845,238.5755,8
114.2445,-8.0605,59500.0,4.775,333.561,332.18,332.18,3
-44.830650000000006,28.13635,58327.5,4.691000000000001,85.7855,85.7935,85.7855,2
-108.86192,23.95614,68515.0,4.836,6.735,6.765,6.735,3
127.0823,27.2662,61000.0,4.785,131.599,0.794,0.794,5
176.4222,-38.26446,48000.0,4.681,3.062,16.382,3.062,1
176.43475,-38.27043,45000.0,4.653,2.825,18.014,2.825,1
-44.8302,28.1368,37757.0,4.577,85.758,85.766,85.758,1
-128.7094,48.4557,33920.0,4.53,33.858,33.902,33.858,1
127.0749,27.2663,31000.0,4.491,132.115,0.306,0.306,1
-129.096,47.9553,30468.0,4.484,3.447,3.457,3.447,1
-108.86291,23.95646,24143.0,4.383,6.782,6.811,6.782,3
-128.6816,48.4303,25680.0,4.41,33.835,33.87,33.835,1
